装备名称,主动技能名称,主动技能效果,主动技能cd
纯净苍穹,驱散 ,"获得35%减伤,持续3s",90
逐日之弓,逐日,"增加125点普攻射程和20%移速,持续5s,增加射程只对远程英雄有效",60
日渊,逐日,"增加125点普攻射程和40%移速,期间普攻会向目标附近的1个目标造成30%额外伤害,持续5s,增加射程与额外伤害只对远程英雄有效",60
天穹,驱散 ,"解除所有控制,获得40%减伤,增加30%移速并无视所有地形阻挡,持续3s,若期间击杀敌方英雄, 则刷新持续时间",90
铸梦·破空,破空,"强化下一次普攻, 击退目标并额外造成50%物理攻击的物理伤害, 击退效果只对远程英雄生效",30
辉月,月之守护,"免疫所有效果,不能移动、攻击和使用技能, 持续1.5s",90
月神,月之守护,"免疫所有效果,不能移动、攻击和使用技能, 持续1.5s,随后在2s内增加60%持续衰减的移速, 并累计回复100+100%法术攻击的生命值",90
血魔之怒,血怒,"逐渐扣除30%当前生命, 逐渐获得累计40%生命值的护盾,并增加15%物理攻击, 持续4s",60
冰霜冲击,冲击,"对范围内目标造成600~200法术伤害, 对450范围内敌人造成0.5s眩晕, 随后附带1s50%减速, 若目标移速或攻速受损, 则分别追加0.25s眩晕",90
怒魂,血怒,"逐渐扣除30%当前生命, 逐渐获得累计50%生命值的护盾,并增加15%物理攻击, 持续4s,在此期间对周围敌人每秒造成4%生命值的法术伤害",60
凛冬,冲击,"对范围内目标造成600~200法术伤害, 对600范围内敌人造成0.5s眩晕, 随后附带1s90%减速, 若目标移速或攻速受损, 则分别追加0.5s眩晕",90
极影·救赎,救援,"范围内友方英雄立即获得480+10%最大生命值的护盾, 持续4s",60
近卫·救赎,救援,"范围内友方英雄立即获得480+10%最大生命值的护盾, 持续4s",60
极影·星泉,星芒,"与范围内一名友方英雄(默认血量最低)建立链接,5s内回复对方500~1060+20%最大生命值的生命与25%最大法力,攻击或被敌方英雄攻击后效果只生效20%",50
近卫·星泉,星芒,"与范围内一名友方英雄(默认血量最低)建立链接,5s内回复对方500~1060+20%最大生命值的生命与25%最大法力,攻击或被敌方英雄攻击后效果只生效20%",50
极影·奔狼,奔腾号令,"范围内友方英雄2s内逐渐加速, 最高增加100%~200%移速,持续5s, 途径未加速的友军英雄会将当前状态同步给友军, 攻击或受到敌方英雄攻击时会保留流20%加速效果",90
近卫·奔狼,奔腾号令,"范围内友方英雄2s内逐渐加速, 最高增加100%~200%移速,持续5s, 途径未加速的友军英雄会将当前状态同步给友军, 攻击或受到敌方英雄攻击时会保留流20%加速效果",90
极影·形昭,见影,"释放一道探照光波, 对1200范围内地方造成4次伤害, 每次造成3%当前生命的伤害并附带50%减速, 探照光波会在范围内继续残留2s, 期间会提供视野并短暂暴露隐身单位,同时对进入范围的敌人造成伤害和减速",60
